product_abstract_store.store_name,concrete_sku,product.value_10
DE,14824_A289536,MER000001
DE,14824_A289536,MER000002
DE,14824_A289529,MER000001
DE,14824_A289529,MER000002
DE,14824_A289464,MER000001
DE,14824_A289450,MER000001
DE,14824_A289443,MER000001
DE,14824_A289443,MER000002
DE,14824_A289443,MER000006
DE,14824_A289442,MER000001
DE,14824_A289442,MER000002
DE,14824_A289442,MER000006
DE,14824_A289418,MER000001
DE,14824_A289418,MER000002
DE,14824_A289418,MER000006
DE,14824_A289414,MER000001
DE,14824_A289413,MER000001
DE,14824_A289403,MER000001
DE,14824_A289400,MER000001
DE,14824_A289400,MER000002
DE,14824_A289400,MER000006
DE,14824_A289393,MER000001
DE,14824_A289393,MER000002
DE,14824_A289393,MER000006
DE,14824_A289389,MER000001
DE,14824_A289385,MER000001
DE,14824_A289385,MER000002
DE,14824_A289384,MER000001
DE,14824_A289384,MER000002
DE,14824_A289373,MER000001
DE,14824_A289362,MER000001
DE,14824_A289362,MER000002
DE,14824_A289362,MER000006
DE,14824_A289356,MER000001
DE,14824_A289356,MER000002
DE,14824_A289356,MER000006
DE,14824_A284480,MER000001
DE,14824_A284243,MER000001
DE,14824_A284243,MER000002
DE,14824_A284243,MER000006
DE,14824_A284237,MER000001
DE,14824_A284237,MER000002
DE,14824_A284237,MER000006
DE,14824_A284236,MER000001
DE,14824_A284236,MER000002
DE,14824_A284236,MER000006
DE,14824_A284037,MER000001
DE,14824_A284037,MER000002
DE,14824_A284002,MER000001
DE,14824_A284002,MER000002
DE,14824_A284001,MER000001
DE,14824_A283980,MER000001
DE,14824_A283980,MER000002
DE,14824_A283980,MER000006
DE,14824_A282165,MER000001
DE,14824_A282165,MER000002
DE,14824_A282165,MER000006
DE,14824_A279508,MER000001
DE,14824_A278022,MER000001
DE,14824_A277473,MER000001
DE,14824_A277473,MER000002
DE,14824_A277473,MER000006
DE,14824_A277286,MER000001
DE,14824_A277286,MER000002
DE,14824_A277286,MER000006
DE,14824_A277282,MER000001
DE,14824_A277282,MER000002
DE,14824_A277282,MER000006
DE,14824_A276655,MER000001
DE,14824_A276655,MER000002
DE,14824_A276655,MER000006
DE,14824_A273294,MER000001
DE,14824_A272644,MER000001
DE,14824_A272640,MER000001
DE,14824_A272640,MER000002
DE,14824_A272640,MER000006
DE,14824_A269725,MER000001
DE,14824_A268175,MER000001
DE,14824_A268175,MER000002
DE,14824_A268175,MER000006
DE,14824_A266732,MER000001
DE,14824_A266732,MER000002
DE,14824_A266732,MER000006
DE,14824_A265440,MER000001
DE,14824_A265440,MER000002
DE,14824_A262400,MER000001
DE,14824_A262400,MER000002
DE,14824_A262399,MER000001
DE,14824_A262399,MER000002
DE,14824_A262154,MER000001
DE,14824_A262154,MER000002
DE,14824_A260793,MER000001
DE,14824_A260793,MER000002
DE,14824_A260790,MER000001
DE,14824_A260790,MER000002
DE,14824_A253807,MER000001
DE,14824_A246914,MER000001
DE,14824_A246901,MER000001
DE,14824_A241856,MER000001
DE,14824_A240754,MER000001
DE,14824_A240754,MER000002
DE,14824_A240754,MER000006
DE,14824_A240617,MER000001
DE,14824_A240617,MER000002
DE,14824_A240617,MER000006
DE,14824_A222010,MER000001
DE,14824_A222010,MER000002
DE,14824_A222010,MER000006
DE,14824_A221785,MER000001
DE,14824_A210101,MER000001
DE,14824_A210097,MER000001
DE,14824_A210097,MER000002
DE,14824_A210097,MER000006
DE,14824_A192719,MER000001
DE,14824_A187629,MER000001
DE,14824_A160278,MER000001
DE,14824_A160278,MER000002
DE,14824_A160278,MER000006
DE,14824_A160230,MER000001
DE,14824_A160230,MER000002
DE,14824_A160230,MER000006
DE,14824_A143799,MER000001
DE,14824_A143799,MER000002
DE,14824_A143799,MER000006
DE,14824_A143747,MER000001
DE,14824_A143747,MER000002
DE,14824_A143747,MER000006
DE,14824_A134763,MER000001
DE,14824_A134763,MER000002
DE,14824_A134430,MER000001
DE,14824_A092456,MER000001
DE,14824_A092456,MER000002
DE,14824_A092456,MER000006
DE,14824_A055473,MER000001
DE,14824_A050664,MER000001
DE,14824_A050664,MER000002
DE,14824_A050603,MER000001
DE,14824_A050603,MER000002
DE,14824_A050602,MER000001
DE,14824_A050602,MER000002
DE,14824_A044240,MER000001
DE,14824_A042121,MER000001
DE,14824_A042121,MER000002
DE,14824_A033484,MER000001
DE,14824_A029359,MER000001
DE,14824_A021150,MER000001
DE,14824_A007052,MER000001
DE,14824_A007052,MER000002
DE,14824_A007052,MER000006
DE,14824_A007044,MER000001
DE,14824_A004605,MER000001
DE,14824_A004605,MER000002
DE,14824_A004605,MER000006
DE,14824_A004599,MER000001
DE,14824_A004599,MER000002
DE,14824_A004599,MER000006
,,
