category_key,parent_category_key,name.en_US,meta_title.en_US,meta_description.en_US,meta_keywords.en_US,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,name.pl_PL,name.cs_CZ,name.sk_SK,meta_title.pl_PL,meta_title.cs_CZ,meta_title.sk_SK,meta_description.pl_PL,meta_description.cs_CZ,meta_description.sk_SK,meta_keywords.pl_PL,meta_keywords.cs_CZ,meta_keywords.sk_SK,category_image_name.pl_PL,category_image_name.cs_CZ,category_image_name.sk_SK
SUB_90006_01_01b,SUB_90006_01_01,Travel,Travel,Travel,Travel,1,0,1,0,0,1,,Catalog (default),,Podróże,Travel,Travel,Podróże,Travel,Travel,Podróże,Travel,Travel,Podróże,Travel,Travel,,,
SUB_90006_01_01c,SUB_90006_01_01,Clothing,Clothing,Clothing,Clothing,1,0,1,0,0,1,,Catalog (default),,Odzież,Clothing,Clothing,Odzież,Clothing,Clothing,Odzież,Clothing,Clothing,Odzież,Clothing,Clothing,,,
SUB_90006_01_01d,SUB_90006_01_01,CFF,CFF,CFF,CFF,1,0,1,0,0,1,,Catalog (default),,CFF,CFF,CFF,CFF,CFF,CFF,CFF,CFF,CFF,CFF,CFF,CFF,,,
SUB_90006_01_01e,SUB_90006_01_01,Eventbranding,Eventbranding,Eventbranding,Eventbranding,1,0,1,0,0,1,,Catalog (default),,Eventbranding,Eventbranding,Eventbranding,Eventbranding,Eventbranding,Eventbranding,Eventbranding,Eventbranding,Eventbranding,Eventbranding,Eventbranding,Eventbranding,,,
SUB_90006_01_01f,SUB_90006_01_01,Office,Office,Office,Office,1,0,1,0,0,1,,Catalog (default),,Biuro,Office,Office,Biuro,Office,Office,Biuro,Office,Office,Biuro,Office,Office,,,
SUB_90006_01_02,SUB_90006_01,EliteClub,EliteClub,EliteClub,EliteClub,1,1,1,1,0,1,,Catalog (default),,EliteClub,EliteClub,EliteClub,EliteClub,EliteClub,EliteClub,EliteClub,EliteClub,EliteClub,EliteClub,EliteClub,EliteClub,,,
SUB_90007,MC_90001,all other worlds,all other worlds,all other worlds,all other worlds,1,1,1,1,0,1,,Catalog (default),,Wszystkie inne światy,alle anderen Welten,alle anderen Welten,Wszystkie inne światy,alle anderen Welten,alle anderen Welten,Wszystkie inne światy,alle anderen Welten,alle anderen Welten,Wszystkie inne światy,alle anderen Welten,alle anderen Welten,,,
MC_11001,shop,Fashion & Accessories,Fashion & Accessories,Fashion & Accessories,Fashion & Accessories,1,1,1,1,0,1,,Catalog (default),,Moda i akcesoria,Mode & Accessoires,Mode & Accessoires,Moda i akcesoria,Mode & Accessoires,Mode & Accessoires,Moda i akcesoria,Mode & Accessoires,Mode & Accessoires,Moda i akcesoria,Mode & Accessoires,Mode & Accessoires,,,
SUB_11001,MC_11001,Accessories,Accessories,Accessories,Accessories,1,1,1,1,0,1,,Catalog (default),,Akcesoria,Accessories,Accessories,Akcesoria,Accessories,Accessories,Akcesoria,Accessories,Accessories,Akcesoria,Accessories,Accessories,,,
SUB_11001_01,SUB_11001,Gloves,Gloves,Gloves,Gloves,1,1,1,1,0,1,,Catalog (default),,Rękawiczki,Handschuhe,Handschuhe,Rękawiczki,Handschuhe,Handschuhe,Rękawiczki,Handschuhe,Handschuhe,Rękawiczki,Handschuhe,Handschuhe,,,
SUB_11001_02,SUB_11001,Belt,Belt,Belt,Belt,1,1,1,1,0,1,,Catalog (default),,Paski,Gürtel,Gürtel,Paski,Gürtel,Gürtel,Paski,Gürtel,Gürtel,Paski,Gürtel,Gürtel,,,
SUB_11001_03,SUB_11001,Ties & Pocket Square,Ties & Pocket Square,Ties & Pocket Square,Ties & Pocket Square,1,1,1,1,0,1,,Catalog (default),,Krawaty i poszetki,Krawatten & Stecktücher,Krawatten & Stecktücher,Krawaty i poszetki,Krawatten & Stecktücher,Krawatten & Stecktücher,Krawaty i poszetki,Krawatten & Stecktücher,Krawatten & Stecktücher,Krawaty i poszetki,Krawatten & Stecktücher,Krawatten & Stecktücher,,,
SUB_11001_04,SUB_11001,Sunglasses,Sunglasses,Sunglasses,Sunglasses,1,1,1,1,0,1,,Catalog (default),,Okulary słoneczne,Sonnenbrillen,Sonnenbrillen,Okulary słoneczne,Sonnenbrillen,Sonnenbrillen,Okulary słoneczne,Sonnenbrillen,Sonnenbrillen,Okulary słoneczne,Sonnenbrillen,Sonnenbrillen,,,
SUB_11002,MC_11001,Clothing for Babies,Clothing for Babies,Clothing for Babies,Clothing for Babies,1,1,1,1,0,1,,Catalog (default),,Ubranka dla niemowląt,Bekleidung für Babys,Bekleidung für Babys,Ubranka dla niemowląt,Bekleidung für Babys,Bekleidung für Babys,Ubranka dla niemowląt,Bekleidung für Babys,Bekleidung für Babys,Ubranka dla niemowląt,Bekleidung für Babys,Bekleidung für Babys,,,
SUB_11003,MC_11001,Clothes for Women,Clothes for Women,Clothes for Women,Clothes for Women,1,1,1,1,0,1,,Catalog (default),,Odzież damska,Bekleidung für Damen,Bekleidung für Damen,Odzież damska,Bekleidung für Damen,Bekleidung für Damen,Odzież damska,Bekleidung für Damen,Bekleidung für Damen,Odzież damska,Bekleidung für Damen,Bekleidung für Damen,,,
SUB_11003_01,SUB_11003,Ladies Jackets & Coats,Ladies Jackets & Coats,Ladies Jackets & Coats,Ladies Jackets & Coats,1,1,1,1,0,1,,Catalog (default),,Kurtki i płaszcze damskie,Damenjacken & Damenmäntel,Damenjacken & Damenmäntel,Kurtki i płaszcze damskie,Damenjacken & Damenmäntel,Damenjacken & Damenmäntel,Kurtki i płaszcze damskie,Damenjacken & Damenmäntel,Damenjacken & Damenmäntel,Kurtki i płaszcze damskie,Damenjacken & Damenmäntel,Damenjacken & Damenmäntel,,,
SUB_11003_02,SUB_11003,Ladies Trousers,Ladies Trousers,Ladies Trousers,Ladies Trousers,1,1,1,1,0,1,,Catalog (default),,Spodnie damskie,Damenhosen,Damenhosen,Spodnie damskie,Damenhosen,Damenhosen,Spodnie damskie,Damenhosen,Damenhosen,Spodnie damskie,Damenhosen,Damenhosen,,,
SUB_11003_03,SUB_11003,Ladies Blouses,Ladies Blouses,Ladies Blouses,Ladies Blouses,1,1,1,1,0,1,,Catalog (default),,Bluzki damskie,Blusen,Blusen,Bluzki damskie,Blusen,Blusen,Bluzki damskie,Blusen,Blusen,Bluzki damskie,Blusen,Blusen,,,
