category_key,parent_category_key,name.en_US,meta_title.en_US,meta_description.en_US,meta_keywords.en_US,is_active,is_in_menu,is_clickable,is_searchable,is_root,is_main,node_order,template_name,category_image_name.en_US,name.nb_NO,name.fi_FI,name.da_DK,name.sv_SE,meta_title.nb_NO,meta_title.fi_FI,meta_title.da_DK,meta_title.sv_SE,meta_description.nb_NO,meta_description.fi_FI,meta_description.da_DK,meta_description.sv_SE,meta_keywords.nb_NO,meta_keywords.fi_FI,meta_keywords.da_DK,meta_keywords.sv_SE,category_image_name.nb_NO,category_image_name.fi_FI,category_image_name.da_DK,category_image_name.sv_SE
SUB_11003_01,SUB_11003,Ladies Jackets & Coats,Ladies Jackets & Coats,Ladies Jackets & Coats,Ladies Jackets & Coats,1,1,1,1,0,1,,Catalog (default),,Jakker og kåper til damer,Ladies Jackets & Coats,Ladies Jackets & Coats,Ladies Jackets & Coats,Jakker og kåper til damer,Ladies Jackets & Coats,Ladies Jackets & Coats,Ladies Jackets & Coats,Jakker og kåper til damer,Ladies Jackets & Coats,Ladies Jackets & Coats,Ladies Jackets & Coats,Jakker og kåper til damer,Ladies Jackets & Coats,Ladies Jackets & Coats,Ladies Jackets & Coats,,,,
SUB_11003_02,SUB_11003,Ladies Trousers,Ladies Trousers,Ladies Trousers,Ladies Trousers,1,1,1,1,0,1,,Catalog (default),,Bukser til damer,Ladies Trousers,Ladies Trousers,Ladies Trousers,Bukser til damer,Ladies Trousers,Ladies Trousers,Ladies Trousers,Bukser til damer,Ladies Trousers,Ladies Trousers,Ladies Trousers,Bukser til damer,Ladies Trousers,Ladies Trousers,Ladies Trousers,,,,
SUB_11003_03,SUB_11003,Ladies Blouses,Ladies Blouses,Ladies Blouses,Ladies Blouses,1,1,1,1,0,1,,Catalog (default),,Bluser til damer,Ladies Blouses,Ladies Blouses,Ladies Blouses,Bluser til damer,Ladies Blouses,Ladies Blouses,Ladies Blouses,Bluser til damer,Ladies Blouses,Ladies Blouses,Ladies Blouses,Bluser til damer,Ladies Blouses,Ladies Blouses,Ladies Blouses,,,,
SUB_11003_04,SUB_11003,Ladies Shirts,Ladies Shirts,Ladies Shirts,Ladies Shirts,1,1,1,1,0,1,,Catalog (default),,Skjorter til damer,Ladies Shirts,Ladies Shirts,Ladies Shirts,Skjorter til damer,Ladies Shirts,Ladies Shirts,Ladies Shirts,Skjorter til damer,Ladies Shirts,Ladies Shirts,Ladies Shirts,Skjorter til damer,Ladies Shirts,Ladies Shirts,Ladies Shirts,,,,
SUB_11003_05,SUB_11003,Ladies Dresses,Ladies Dresses,Ladies Dresses,Ladies Dresses,1,1,1,1,0,1,,Catalog (default),,Damekjoler,Ladies Dresses,Ladies Dresses,Ladies Dresses,Damekjoler,Ladies Dresses,Ladies Dresses,Ladies Dresses,Damekjoler,Ladies Dresses,Ladies Dresses,Ladies Dresses,Damekjoler,Ladies Dresses,Ladies Dresses,Ladies Dresses,,,,
SUB_11003_06,SUB_11003,Ladies Sweaters,Ladies Sweaters,Ladies Sweaters,Ladies Sweaters,1,1,1,1,0,1,,Catalog (default),,Damegensere,Ladies Sweaters,Ladies Sweaters,Ladies Sweaters,Damegensere,Ladies Sweaters,Ladies Sweaters,Ladies Sweaters,Damegensere,Ladies Sweaters,Ladies Sweaters,Ladies Sweaters,Damegensere,Ladies Sweaters,Ladies Sweaters,Ladies Sweaters,,,,
SUB_11003_07,SUB_11003,Skirts,Skirts,Skirts,Skirts,1,1,1,1,0,1,,Catalog (default),,Skjørt,Skirts,Skirts,Skirts,Skjørt,Skirts,Skirts,Skirts,Skjørt,Skirts,Skirts,Skirts,Skjørt,Skirts,Skirts,Skirts,,,,
SUB_11003_08,SUB_11003,Ladies underwear,Ladies underwear,Ladies underwear,Ladies underwear,1,1,1,1,0,1,,Catalog (default),,Dameundertøy,Ladies underwear,Ladies underwear,Ladies underwear,Dameundertøy,Ladies underwear,Ladies underwear,Ladies underwear,Dameundertøy,Ladies underwear,Ladies underwear,Ladies underwear,Dameundertøy,Ladies underwear,Ladies underwear,Ladies underwear,,,,
SUB_11003_09,SUB_11003,Ladies swimwear,Ladies swimwear,Ladies swimwear,Ladies swimwear,1,1,1,1,0,1,,Catalog (default),,Badetøy til dame,Ladies swimwear,Ladies swimwear,Ladies swimwear,Badetøy til dame,Ladies swimwear,Ladies swimwear,Ladies swimwear,Badetøy til dame,Ladies swimwear,Ladies swimwear,Ladies swimwear,Badetøy til dame,Ladies swimwear,Ladies swimwear,Ladies swimwear,,,,
SUB_11003_10,SUB_11003,Ladies nightwear,Ladies nightwear,Ladies nightwear,Ladies nightwear,1,1,1,1,0,1,,Catalog (default),,Nattøy til damer,Ladies nightwear,Ladies nightwear,Ladies nightwear,Nattøy til damer,Ladies nightwear,Ladies nightwear,Ladies nightwear,Nattøy til damer,Ladies nightwear,Ladies nightwear,Ladies nightwear,Nattøy til damer,Ladies nightwear,Ladies nightwear,Ladies nightwear,,,,
